accuracy: 93.28703703703704 error: 0.021215538461647483 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.007)}
accuracy: 93.05555555555556 error: 0.024920463160498424 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.008)}
accuracy: 93.75 error: 0.0027787723708412706 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.001)}
accuracy: 93.05555555555556 error: 0.02476484144321972 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.002)}
accuracy: 93.05555555555556 error: 0.0022870974160893918 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.003)}
accuracy: 93.28703703703704 error: 0.024764362652602644 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.004)}
accuracy: 91.66666666666666 error: 0.023247485786896196 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.005)}
accuracy: 96.75925925925925 error: 0.01596101013704168 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.006)}
accuracy: 95.60185185185185 error: 0.010397628917005897 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.007)}
accuracy: 92.82407407407408 error: 0.002162149584360138 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9500000000000004), 'lambda': np.float64(0.008)}
accuracy: 97.68518518518519 error: 0.01781492036419941 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.001)}
accuracy: 93.75 error: 0.02544402593878593 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.002)}
accuracy: 93.98148148148148 error: 0.024206766974735484 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.003)}
accuracy: 93.28703703703704 error: 0.024778745587253216 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.004)}
accuracy: 94.21296296296296 error: 0.023309696788661016 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.005)}
accuracy: 93.05555555555556 error: 0.025853796638479885 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.006)}
accuracy: 92.82407407407408 error: 0.02485821895260898 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.007)}
accuracy: 93.05555555555556 error: 0.02534808880411339 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.5), 'lambda': np.float64(0.008)}
accuracy: 93.75 error: 0.025725808063160376 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.001)}
accuracy: 92.82407407407408 error: 0.024624155606903876 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.002)}
accuracy: 92.36111111111111 error: 0.02582904728754528 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.003)}
accuracy: 92.82407407407408 error: 0.025118731665125824 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.004)}
accuracy: 92.82407407407408 error: 0.02600086293690032 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.005)}
accuracy: 97.22222222222221 error: 0.018045668461889056 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.006)}
accuracy: 93.05555555555556 error: 0.02349213546634092 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.007)}
accuracy: 98.14814814814815 error: 0.017623843214603564 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.55), 'lambda': np.float64(0.008)}
accuracy: 93.75 error: 0.022527614558544285 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.001)}
accuracy: 92.5925925925926 error: 0.025620673891627727 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.002)}
accuracy: 93.28703703703704 error: 0.025843304697041186 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.003)}
accuracy: 93.28703703703704 error: 0.025844307634824495 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.004)}
